
joesguns             |  28.6m / 62.5m  (45% full)  | 5.3 / 5  (100.0%) | 0.5s/growth (20 over 10s)
nectar-net           |  40.7m / 68.8m  (59% full)  | 11.6 / 7  (100.0%) | 0.7s/growth (25 over 17s)
hong-fang-tea        |  44.4m / 75.0m  (59% full)  | 5.0 / 5  (100.0%) | 0.7s/growth (20 over 14s)
harakiri-sushi       |  57.3m / 100.0m (57% full)  | 7.3 / 5  (100.0%) | 0.5s/growth (40 over 20s)
neo-net              |  53.8m / 125.0m (43% full)  | 8.0 / 8  (100.0%) | 0.9s/growth (25 over 24s)
zer0                 | 101.6m / 187.5m (54% full)  | 10.9 / 8  (100.0%) | 1s/growth (40 over 41s)
max-hardware         | 100.4m / 250.0m (40% full)  | 5.0 / 5  (100.0%) | 0.8s/growth (30 over 24s)
iron-gym             | 103.2m / 500.0m (20% full)  | 10.0 / 10 (100.0%) | 2.4s/growth (20 over 49s)
phantasy             | 424.9m / 600.0m (70% full)  | 9.9 / 7  (100.0%) | 1.3s/growth (35 over 48s)
crush-fitness        |   1.0b / 1.0b   (100% full) | 12.0 / 12 (100.0%) | 3.9s/growth (32 over 127s)
silver-helix         | 702.1m / 1.1b   (62% full)  | 10.4 / 10 (100.0%) | 2.4s/growth (30 over 72s)
omega-net            |   1.3b / 1.7b   (78% full)  | 11.2 / 11 (100.0%) | 3.5s/growth (30 over 105s)
johnson-ortho        |   1.8b / 1.8b   (100% full) | 18.9 / 17 ( 97.5%) | 3.4s/growth (65 over 226s)
the-hub              |   3.0b / 4.9b   (61% full)  | 16.5 / 15 ( 99.2%) | 4s/growth (50 over 204s)
computek             |   5.6b / 5.6b   (100% full) | 23.9 / 19 ( 83.5%) | 5.6s/growth (60 over 338s)
summit-uni           |   5.7b / 5.7b   (100% full) | 19.9 / 19 ( 73.7%) | 7.1s/growth (50 over 358s)
rothman-uni          |   2.3b / 5.8b   (39% full)  | 16.0 / 16 ( 82.9%) | 6.5s/growth (41 over 267s)
millenium-fitness    |   2.6b / 6.3b   (42% full)  | 16.0 / 16 ( 66.1%) | 7.6s/growth (44 over 335s)
aevum-police         |   6.7b / 6.7b   (100% full) | 25.0 / 25 ( 72.5%) | 11.7s/growth (36 over 423s)
netlink              |   4.3b / 6.9b   (62% full)  | 22.4 / 21 ( 75.8%) | 6.9s/growth (54 over 375s)
