0 | WEAK | Diff: 80683 | Finished: 46:31.667 | START: 45:10.984 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 45:10.984
0 | WEAK | Diff: 77878 | Finished: 47:59.363 | START: 46:41.485 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 46:41.485
0 | WEAK | Diff: 73787 | Finished: 52:30.824 | START: 51:17.037 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 51:17.037
0 | WEAK | Diff: 72807 | Finished: 53:47.975 | START: 52:35.168 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:35.168
0 | WEAK | Diff: 70405 | Finished: 56:03.893 | START: 54:53.488 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 54:53.488
0 | GROW | Diff: 33848 | Finished: 31:22.686 | START: 30:48.838 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 30:48.838
0 | GROW | Diff: 33633 | Finished: 35:14.531 | START: 34:40.898 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 34:40.898
0 | GROW | Diff: 33631 | Finished: 36:59.273 | START: 36:25.642 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 36:25.642
0 | WEAK | Diff: 7128 | Finished: 19:48.190 | START: 19:41.062 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 19:41.062
