15 | GROW | Diff: 2042 | Finished: 48:43.338 | START: 48:22.553 | ATTEMPTED WAIT UNTIL: 48:26.246 | EXEC: 48:26.248
16 | GROW | Diff: 2046 | Finished: 48:43.519 | START: 48:22.732 | ATTEMPTED WAIT UNTIL: 48:26.423 | EXEC: 48:26.425
17 | WEAK | Diff: 5 | Finished: 48:44.212 | START: 48:22.849 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 48:22.849
18 | WEAK | Diff: 2 | Finished: 48:44.376 | START: 48:23.016 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 48:23.016
19 | GROW | Diff: 4 | Finished: 48:46.050 | START: 48:27.298 | ATTEMPTED WAIT UNTIL: 48:30.994 | EXEC: 48:30.998
19 | WEAK | Diff: 7 | Finished: 48:46.059 | START: 48:27.242 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 48:27.242
20 | GROW | Diff: 5 | Finished: 49:00.303 | START: 48:41.576 | ATTEMPTED WAIT UNTIL: 48:45.266 | EXEC: 48:45.267
20 | WEAK | Diff: 1 | Finished: 49:00.308 | START: 48:41.518 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 48:41.518
21 | WEAK | Diff: 1 | Finished: 49:00.479 | START: 48:41.689 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 48:41.689
21 | GROW | Diff: 2 | Finished: 49:00.495 | START: 48:41.752 | ATTEMPTED WAIT UNTIL: 48:45.437 | EXEC: 48:45.462
23 | GROW | Diff: 1 | Finished: 49:03.864 | START: 48:45.140 | ATTEMPTED WAIT UNTIL: 48:48.830 | EXEC: 48:48.832
23 | WEAK | Diff: 7 | Finished: 49:03.878 | START: 48:45.082 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 48:45.082
22 | GROW | Diff: -8135 | Finished: 49:04.710 | START: 48:43.942 | ATTEMPTED WAIT UNTIL: 48:49.668 | EXEC: 48:49.669
24 | GROW | Diff: 10 | Finished: 49:05.101 | START: 48:46.367 | ATTEMPTED WAIT UNTIL: 48:50.056 | EXEC: 48:50.060
24 | WEAK | Diff: 5 | Finished: 49:05.102 | START: 48:46.308 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 48:46.308
22 | WEAK | Diff: 7 | Finished: 49:12.861 | START: 48:43.884 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 48:43.884
25 | GROW | Diff: -2027 | Finished: 49:19.844 | START: 49:00.608 | ATTEMPTED WAIT UNTIL: 49:04.803 | EXEC: 49:04.803
26 | GROW | Diff: -2028 | Finished: 49:20.015 | START: 49:00.773 | ATTEMPTED WAIT UNTIL: 49:04.975 | EXEC: 49:04.975
25 | HACK | Diff: 855 | Finished: 49:22.731 | START: 49:00.665 | ATTEMPTED WAIT UNTIL: 49:16.542 | EXEC: 49:16.542
26 | HACK | Diff: 685 | Finished: 49:22.736 | START: 49:00.827 | ATTEMPTED WAIT UNTIL: 49:16.714 | EXEC: 49:16.717
25 | WEAK | Diff: 858 | Finished: 49:22.740 | START: 49:00.548 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 49:00.548
26 | WEAK | Diff: 688 | Finished: 49:22.741 | START: 49:00.719 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 49:00.719
27 | GROW | Diff: 69 | Finished: 49:22.744 | START: 49:03.949 | ATTEMPTED WAIT UNTIL: 49:07.643 | EXEC: 49:07.644
27 | WEAK | Diff: 68 | Finished: 49:22.754 | START: 49:03.897 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 49:03.897
28 | GROW | Diff: 7 | Finished: 49:24.829 | START: 49:06.115 | ATTEMPTED WAIT UNTIL: 49:09.804 | EXEC: 49:09.807
28 | WEAK | Diff: 9 | Finished: 49:24.838 | START: 49:06.060 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 49:06.060
29 | GROW | Diff: 8 | Finished: 49:32.017 | START: 49:13.324 | ATTEMPTED WAIT UNTIL: 49:17.006 | EXEC: 49:17.010
29 | WEAK | Diff: 7 | Finished: 49:32.023 | START: 49:13.268 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 49:13.268
31 | GROW | Diff: -8 | Finished: 49:41.712 | START: 49:23.060 | ATTEMPTED WAIT UNTIL: 49:26.736 | EXEC: 49:26.738
31 | WEAK | Diff: 8 | Finished: 49:41.736 | START: 49:23.001 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 49:23.001
32 | GROW | Diff: -7 | Finished: 49:41.880 | START: 49:23.229 | ATTEMPTED WAIT UNTIL: 49:26.905 | EXEC: 49:26.905
32 | WEAK | Diff: 7 | Finished: 49:41.904 | START: 49:23.170 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 49:23.170
30 | GROW | Diff: -7 | Finished: 49:42.548 | START: 49:22.853 | ATTEMPTED WAIT UNTIL: 49:27.571 | EXEC: 49:27.573
30 | WEAK | Diff: 6 | Finished: 49:42.569 | START: 49:22.737 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 49:22.737
33 | GROW | Diff: -7 | Finished: 49:44.083 | START: 49:25.428 | ATTEMPTED WAIT UNTIL: 49:29.103 | EXEC: 49:29.108
33 | WEAK | Diff: 7 | Finished: 49:44.102 | START: 49:25.368 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 49:25.368
34 | GROW | Diff: 2 | Finished: 49:51.303 | START: 49:32.667 | ATTEMPTED WAIT UNTIL: 49:36.332 | EXEC: 49:36.335
34 | HACK | Diff: 6 | Finished: 49:51.309 | START: 49:32.727 | ATTEMPTED WAIT UNTIL: 49:46.626 | EXEC: 49:46.626
34 | WEAK | Diff: 11 | Finished: 49:51.319 | START: 49:32.601 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 49:32.601
35 | GROW | Diff: 6 | Finished: 50:00.558 | START: 49:41.910 | ATTEMPTED WAIT UNTIL: 49:45.585 | EXEC: 49:45.586
35 | HACK | Diff: 3 | Finished: 50:00.563 | START: 49:41.969 | ATTEMPTED WAIT UNTIL: 49:55.879 | EXEC: 49:55.883
35 | WEAK | Diff: 3 | Finished: 50:00.564 | START: 49:41.854 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 49:41.854
36 | GROW | Diff: 1 | Finished: 50:00.731 | START: 49:42.085 | ATTEMPTED WAIT UNTIL: 49:45.759 | EXEC: 49:45.764
36 | HACK | Diff: 4 | Finished: 50:00.736 | START: 49:42.145 | ATTEMPTED WAIT UNTIL: 49:56.053 | EXEC: 49:56.055
36 | WEAK | Diff: 7 | Finished: 50:00.742 | START: 49:42.028 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 49:42.028
37 | GROW | Diff: 2 | Finished: 50:01.910 | START: 49:43.269 | ATTEMPTED WAIT UNTIL: 49:46.941 | EXEC: 49:46.942
37 | HACK | Diff: 1 | Finished: 50:01.915 | START: 49:43.326 | ATTEMPTED WAIT UNTIL: 49:57.235 | EXEC: 49:57.237
37 | WEAK | Diff: 8 | Finished: 50:01.925 | START: 49:43.210 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 49:43.210
38 | HACK | Diff: 6 | Finished: 50:03.101 | START: 49:44.511 | ATTEMPTED WAIT UNTIL: 49:58.418 | EXEC: 49:58.418
